Data Export Generated on Mon Jun 21 16:13:39 PDT 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey ID 8658511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dashboard Name My Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OVERALL
Response ID,Response Status,IP Address,Timestamp (mm/dd/yyyy),Duplicate,Time Taken to Complete (Seconds),Seq. Number,External Reference,Custom Variable 1,Custom Variable 2,Custom Variable 3,Custom Variable 4,Custom Variable 5,Respondent Email,Email List,Country Code,Region,1 - CHA,2 - HI,3 - CON,4 - GEN,5 - AGE,6 - EDU,7 - INC,8 - SCE,9 - VAL1,10 - VAL2,11 - INT,12 - Q1 - Row 1,13 - Q2 - Row 1,14 - Q3 - Row 1,15 - Q4 - Row 1,16 - Q5 - Row 1,17 - Q6 - Row 1,18 - Q7 - Row 1,19 - Q8 - Row 1,20 - CODE,,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,GREED SCORE
47515375,Completed,149.167.128.5,6/18/2021 14:57,0,157,1,,,,,,,,,AU,VIC,PASS,,1,2,2,3,2,,1,It is not safe to do that. ,,6,2,6,2,6,2,6,3,725489,,6,6,6,6,6,6,6,5,47
47653261,Completed,24.236.88.53,6/21/2021 21:49,0,110,1,,,,,,,,,US,FL,PASS,,1,1,2,3,1,,1,"I think it is typical of a company to try to save money like this. However, they usually end up regretting it.",,4,4,5,4,4,3,2,4,892067,,4,4,5,4,4,5,2,4,32
47653268,Completed,45.23.231.59,6/21/2021 21:49,0,108,1,,,,,,,,,US,TN,PASS,,1,1,3,2,2,,1,I think they could have done better. They should have been more honest,,6,2,6,2,5,2,6,1,96712,,6,6,6,6,5,6,6,7,48
47653285,Completed,49.49.239.126,6/21/2021 21:49,0,170,1,,,,,,,,,TH,10,PASS,,1,1,4,4,2,,1,"Probably very common behavior in the construction game. Low-income houses are built using cheaper materials. As long as they comply with all regs, I don't really see a big ethical issue.",,3,4,6,2,5,1,3,3,123456,,3,4,6,6,5,7,3,5,39
47653301,Completed,157.49.208.18,6/21/2021 21:50,0,283,1,,,,,,,,,IN,TN,PASS,,1,1,3,4,2,,1,"The behavior is really rude and cruel. The customers believe in their years of service and thinking its a trust-worthy products but only for profit ,they are selling cheap materials. Its totally betraying the customers.",,7,1,7,7,7,1,7,1,911910,,7,7,7,1,7,7,7,7,50
47653373,Completed,24.187.115.38,6/21/2021 21:51,0,330,1,,,,,,,,,US,NJ,PASS,,1,1,3,4,3,,1,"It is typical of a major corporation to provide lower quality products at a lower price to a different level of consumer, to increase sales.  It is not wrong as long as consumer knows what they are paying for.  If crimson One discloses in its marketing that it is creating a lower cost product line to reach out to a broader customer base, then I would think its actions are acceptable.",,5,3,5,2,5,2,2,4,876351,,5,5,5,6,5,6,2,4,38
47653466,Completed,96.37.37.113,6/21/2021 21:54,0,354,1,,,,,,,,,US,SC,PASS,,1,1,3,4,4,,1,they sound immoral. they should be investigated and the people responsible should be fired,,7,7,7,1,7,7,6,1,566712,,7,1,7,7,7,1,6,7,43
47653569,Completed,108.216.4.79,6/21/2021 21:56,0,148,1,,,,,,,,,US,FL,PASS,,1,1,3,5,4,,1,"I do not think it is fair, but it is not totally surprising. Many firms will do almost anything legal to maximize their profits. Lower income individuals have less recourse in responding to customer service failures like this.",,7,1,6,1,7,1,7,1,322591,,7,7,6,7,7,7,7,7,55
47653682,Completed,27.7.110.165,6/21/2021 21:58,0,192,1,,,,,,,,,IN,KA,PASS,,1,1,4,4,2,,1,It is really bad and unethical. They shouldn't scam people to waste money on maintenance. I wouldn't want to associate with a company like that.,,7,1,6,1,6,1,6,1,754412,,7,7,6,7,6,7,6,7,53
47653873,Completed,172.56.22.167,6/21/2021 22:03,0,234,1,,,,,,,,,US,CT,PASS,,1,2,5,3,3,,1,Don't be greedy. You were already doing well. NOw you are lowering the quality of your work and the reputation of your company.,,7,1,7,1,7,1,7,1,727263,,7,7,7,7,7,7,7,7,56
47654196,Completed,157.51.168.12,6/21/2021 22:10,0,2643,1,,,,,,,,,IN,TN,PASS,,1,1,3,5,1,,1,The behaviour of Crimson One company is unethical and not at all acceptable. The house owners are affected by their greediness in unexpected repair and maintenance costs. This practice will not help them in long run and will harm them badly.,,7,1,7,1,7,1,7,1,984276,,7,7,7,7,7,7,7,7,56
47654225,Completed,49.145.105.142,6/21/2021 22:11,0,265,1,,,,,,,,,PH,CEB,PASS,,1,1,2,4,1,,1,Very selfish behavior. They valued their profits above the quality of work that they provide to their clients.,,7,1,7,1,7,1,7,1,845829,,7,7,7,7,7,7,7,7,56
47654233,Completed,103.114.211.122,6/21/2021 22:11,0,1307,1,,,,,,,,,IN,TN,PASS,,1,1,2,4,3,,1,It is unethical and wrong,,6,1,7,2,7,2,2,2,220711,,6,7,7,6,7,6,2,6,47
47654335,Completed,73.214.178.170,6/21/2021 22:13,0,271,1,,,,,,,,,US,OH,PASS,,1,1,3,3,2,,1,"They wanted to do things cheaper to make more money. It ended up coming back to hurting the home owners in the long run, but they don't mind as long as they get more.",,6,1,7,7,5,1,4,2,296738,,6,7,7,1,5,7,4,6,43
47654584,Completed,73.214.178.170,6/21/2021 22:18,0,265,1,,,,,,,,,US,OH,PASS,,1,2,3,3,2,,1,"I believe that the company is greedy and wants to make more money. They don't care whom they hurt doing so, as long as they are looking out for themselves.",,7,1,6,7,7,1,6,1,481063,,7,7,6,1,7,7,6,7,48
47654602,Completed,223.233.77.224,6/21/2021 22:19,0,162,1,,,,,,,,,IN,UP,PASS,,1,1,2,5,2,,1,I feel it is very irresponsible behaviour. They intentionally used cheaper materials and hid it from their customers. This would cause huge issues with the people who live in these houses.,,7,1,7,1,7,1,6,1,546612,,7,7,7,7,7,7,6,7,55
47654648,Completed,103.59.202.143,6/21/2021 22:20,0,177,1,,,,,,,,,IN,MH,PASS,,1,1,2,4,1,,1,Crimson One company license should be cancelled and they should be put in jail. Poor material using in building can lead to deaths of people and they were playing life with people,,7,1,7,1,7,1,6,1,924541,,7,7,7,7,7,7,6,7,55
47655046,Completed,173.66.36.130,6/21/2021 22:28,0,1450,1,,,,,,,,,US,VA,PASS,,1,1,3,4,4,,1,I think this company is unethical using cheap materials. ,,7,1,7,1,5,7,6,1,385938,,7,7,7,7,5,1,6,7,47
47655303,Completed,72.76.190.4,6/21/2021 22:33,0,253,1,,,,,,,,,US,NJ,PASS,,1,1,3,5,3,,1,"I think the behavior of Crimson One is appalling.  A home is one of the most important things in life, and is one of the largest investments one will make in the course of one's lifetime.  The fact that Crimson One used substandard materials makes me feel angry with them, and I hope they will be held accountable. ",,7,1,7,1,7,1,7,1,230829,,7,7,7,7,7,7,7,7,56
47655339,Completed,103.147.209.192,6/21/2021 22:34,0,226,1,,,,,,,,,IN,KL,PASS,,1,1,4,5,2,,1,The company's behavior is not at all ethical and moral.,,6,1,6,2,6,1,7,1,888999,,6,7,6,6,6,7,7,7,52
47655640,Completed,198.71.99.128,6/21/2021 22:40,0,260,1,,,,,,,,,US,,PASS,,1,2,4,4,2,,1,I think that it is okay to use cheaper materials in order to have affordable housing and one of the downsides unfortunately to homeownership is maintenance. There needs to be affordable solutions for things that need repaired.,,1,4,3,6,1,4,1,7,702570,,1,4,3,2,1,4,1,1,17
47655829,Completed,74.123.47.201,6/21/2021 22:44,0,229,1,,,,,,,,,US,TN,PASS,,1,2,3,3,1,,1,I don't think that that is the proper way for a business to be running. They are doing people wrong. They know they are purposely getting cheap materials and it is at the expense of the customer.,,7,1,7,1,6,1,6,1,982032,,7,7,7,7,6,7,6,7,54
47655862,Completed,98.17.15.72,6/21/2021 22:45,0,126,1,,,,,,,,,US,FL,PASS,,1,2,4,4,3,,1,immoral and unethical,,7,1,7,1,7,1,7,1,101499,,7,7,7,7,7,7,7,7,56
47656055,Completed,49.204.128.189,6/21/2021 22:48,0,197,1,,,,,,,,,IN,TN,PASS,,1,2,3,5,3,,1,"Different firms takes up different types of strategy, when they grew. In this case, Crimson's strategy is wrong and it will loss its goodwill.",,6,1,6,3,5,2,4,2,944440,,6,7,6,5,5,6,4,6,45
47656061,Completed,70.44.129.143,6/21/2021 22:48,0,259,1,,,,,,,,,US,PA,PASS,,1,1,4,3,3,,1,It seems like typical corporate behavior. They try and cut corners and it ends up costing more money in the long run.,,6,3,7,2,7,1,4,1,6950,,6,5,7,6,7,7,4,7,49
47656095,Completed,223.178.152.6,6/21/2021 22:49,0,616,1,,,,,,,,,IN,MH,PASS,,1,1,3,4,3,,1," I think the nature of the firm has been leaning towards profit only. Reputation of company might be compromised in future if low quality building material persistently used for home making. People will likely to review firm as negative and new customer will likely to avoid such a construction companies.   I think, the decision of management to increase short term profit by reducing the quality of construction is unfair. They have to revoke it immediately.      ",,6,4,6,3,6,2,4,3,619428,,6,4,6,5,6,6,4,5,42
47656287,Completed,173.76.6.28,6/21/2021 22:53,0,223,1,,,,,,,,,US,MA,PASS,,1,2,5,2,1,,1,I think their behavior is awful. You don't use people in a bad way just to make more money. I would sue them if I found out they did that with me.,,7,1,7,7,7,2,7,1,625946,,7,7,7,1,7,6,7,7,49
47656446,Completed,173.73.145.157,6/21/2021 22:57,0,174,1,,,,,,,,,US,VA,PASS,,1,1,2,4,3,,1,I think it's not right and they are mistreating the people who need the help the most.,,7,1,6,1,6,7,5,1,874654,,7,7,6,7,6,1,5,7,46
47656554,Completed,46.1.174.112,6/21/2021 22:59,0,423,1,,,,,,,,,TR,,PASS,,1,1,2,3,1,,1,Wrong. Using cheap materials may cause destruction and ruin peoples life,,7,1,2,1,7,3,7,1,556812,,7,7,2,7,7,5,7,7,49
47657059,Completed,24.98.249.115,6/21/2021 23:10,0,193,1,,,,,,,,,US,GA,PASS,,1,1,4,2,2,,1,I think there behavior is borderline criminal,,7,1,7,1,7,1,7,1,771866,,7,7,7,7,7,7,7,7,56
47657239,Completed,73.148.231.128,6/21/2021 23:14,0,147,1,,,,,,,,,US,GA,PASS,,1,1,2,4,1,,1,"I think that the behavior is pretty despicable. As if poor people don't have a hard enough time as it is, they decide to profit off of them even more. I think Crimson One should be fined and possibly prosecuted.",,7,1,7,7,7,1,7,1,643234,,7,7,7,1,7,7,7,7,50
47658645,Completed,35.136.195.181,6/21/2021 23:47,0,259,1,,,,,,,,,US,FL,PASS,,1,1,4,4,1,,1,I think it is unethical and morally wrong for them to use lesser quality materials for the low income housing. These people will later have to spend much money for repairs for their homes because of Crimson One doing this.,,6,1,6,1,6,1,4,1,741852,,6,7,6,7,6,7,4,7,50
47659205,Completed,73.237.88.24,6/21/2021 23:57,0,132,1,,,,,,,,,US,GA,PASS,,1,2,2,2,1,,1,I think this behavior is disgusting. It is not fair that the company is putting cheaper products into lower income houses just because they can. They are taking advantage of their customers.,,7,1,6,1,6,1,6,1,937752,,7,7,6,7,6,7,6,7,53
47659277,Completed,49.37.153.213,6/21/2021 23:59,0,463,1,,,,,,,,,IN,TG,PASS,,1,1,1,3,1,,1,THEY ARE IN LOSSES AND TO COVER THOSE LOSSES THEY ARE TRYING CHEAPER MATERIALS,,5,2,5,2,4,5,6,2,522301,,5,6,5,6,4,3,6,6,41
47659289,Completed,97.84.180.207,6/21/2021 23:59,0,151,1,,,,,,,,,US,MI,PASS,,1,1,3,2,2,,1,I think it is discriminatory and underhanded. I think it shows that the company can't be trusted to treat everyone equally.,,7,1,7,1,7,1,7,1,170124,,7,7,7,7,7,7,7,7,56
47659317,Completed,103.110.48.30,6/22/2021 0:00,0,349,1,,,,,,,,,IN,UP,PASS,,1,1,3,5,1,,1,"Crimson One is very greedy in terms of money, it wants to make money quickly from cheating in its working , its behaviour is not good one.",,7,1,7,6,6,1,5,2,909899,,7,7,7,2,6,7,5,6,47
47659516,Completed,103.210.207.31,6/22/2021 0:03,0,505,1,,,,,,,,,IN,TN,PASS,,1,1,4,5,1,,1,There are lot of ways to boost the income but they are cheating by placing cheaper materials to boost the income.  As they are already in profit it is not fair to put cheaper materials in low-income suburbs.  No one will accept these kind of cheating.,,7,1,7,1,6,2,6,2,334455,,7,7,7,7,6,6,6,6,52
47659609,Completed,174.17.150.253,6/22/2021 0:05,0,153,1,,,,,,,,,US,AZ,PASS,,1,1,3,4,2,,1,It sounds fraudulent. People expect a certain level of quality.,,6,1,6,2,7,1,4,2,851199,,6,7,6,6,7,7,4,6,49
47660066,Completed,103.210.207.31,6/22/2021 0:14,0,447,1,,,,,,,,,IN,TN,PASS,,1,2,3,4,1,,1,The behavior is a worst one.  The company's financial situation is good and they should not do this kind of cheating to the customers.  Every person who buy the house believe the company and buy the house.  They should not break their belief.,,7,1,7,1,7,2,7,1,213213,,7,7,7,7,7,6,7,7,55
47660396,Completed,117.221.226.251,6/22/2021 0:18,0,679,1,,,,,,,,,IN,KL,PASS,,1,1,3,4,1,,1,"Firm uses cheaper materials in the construction of houses for increase them profit, however house owners are impacted by this.",,7,1,7,3,7,3,7,2,789656,,7,7,7,5,7,5,7,6,51
47660431,Completed,117.196.81.45,6/22/2021 0:18,0,930,1,,,,,,,,,IN,GJ,PASS,,1,1,2,2,2,,1,"While the firm has gained reputation in the market and there's no need for it to employ cheap materials due to which its consumers has to suffer, it gets greedy and continues to cheat its customers. It becomes unethical and selfish to earn more at the cost of its customers' sufferings. It is a criminal behavior in my opinion and the firm should be made to pay heavily for it. Its behavior is neither acceptable nor excusable.",,7,1,7,1,7,1,7,1,819540,,7,7,7,7,7,7,7,7,56
47660868,Completed,103.110.237.227,6/22/2021 0:26,0,349,1,,,,,,,,,IN,TN,PASS,,1,1,2,4,1,,1,It is very bad behaviour of construction business. Lot of people affected in this company. ,,7,1,6,3,7,2,7,1,997629,,7,7,6,5,7,6,7,7,52
47662164,Completed,116.68.81.246,6/22/2021 0:48,0,529,1,,,,,,,,,IN,KL,PASS,,1,2,2,5,2,,1,The company is fraud and cannot be trusted for quality.,,7,1,7,1,7,1,7,1,235648,,7,7,7,7,7,7,7,7,56
47664898,Completed,100.7.47.175,6/22/2021 1:31,0,132,1,,,,,,,,,US,VA,PASS,,1,1,4,3,2,,1,"I think it shows that they are only in the business for the money. They do not care about the quality of their work, only that they get paid. They lack compassion and are probably racist as well.",,7,1,7,1,7,1,7,1,659887,,7,7,7,7,7,7,7,7,56
47669227,Completed,206.54.198.154,6/22/2021 2:08,0,207,1,,,,,,,,,US,TX,PASS,,1,2,2,3,2,,1,Crimson One is a highly unethical company. They make a great profit but take advantage of poor people. I find this disgusting and basically theft.,,7,1,7,1,7,1,6,1,810345,,7,7,7,7,7,7,6,7,55
