Data Export Generated on Tue Jun 22 23:32:20 PDT 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey ID 8654879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dashboard Name My Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OVERALL GREED
Response ID,Response Status,IP Address,Timestamp (mm/dd/yyyy),Duplicate,Time Taken to Complete (Seconds),Seq. Number,External Reference,Custom Variable 1,Custom Variable 2,Custom Variable 3,Custom Variable 4,Custom Variable 5,Respondent Email,Email List,Country Code,Region,1 - CHA,2 - HI,3 - CON,4 - GEN,5 - AGE,6 - EDU,7 - INC,8 - SCE,9 - VAL1,10 - VAL2,11 - INT,12 - Q1 - Row 1,13 - Q2 - Row 1,14 - Q3 - Row 1,15 - Q4 - Row 1,16 - Q5 - Row 1,17 - Q6 - Row 1,18 - Q7 - Row 1,19 - Q8 - Row 1,20 - CODE,,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,SCORE
47712675,Completed,115.96.179.177,6/22/2021 21:21,0,232,1,,,,,,,,,IN,MH,PASS,,1,1,4,4,2,,4,I think Crimson One will boost its profits since it is running on profits and is not worried about losing clients. It is a bit distasteful and could backfire if they face competition from another company which would offer a cheaper rate.,,5,3,5,5,5,2,4,3,962544,,5,5,5,3,5,6,4,5,38
47712876,Completed,24.187.115.38,6/22/2021 21:26,0,347,1,,,,,,,,,US,NJ,PASS,,1,1,3,4,3,,4,"I believe it is illegal; a rent agreement usually states that it cannot be increased during the term. If the increase was imposed during renegotiaton or renewal for another term, then it makes sense, but it would be immoral. There are other ways to earn additional revenue, such as keeping the commission rate, but then adding a fee.",,6,3,6,6,7,1,5,1,659741,,6,5,6,2,7,7,5,7,45
47712928,Completed,49.49.239.126,6/22/2021 21:27,0,257,1,,,,,,,,,TH,10,PASS,,1,1,3,4,2,,4,"I don't have any major complaints. But it really depends on the contracts between Crimson One and the tenants. If they are abiding by the contract, then it's just market forces really. They are treating all tenants the same.",,5,4,6,2,5,1,3,3,123456,,5,4,6,6,5,7,3,5,41
47713076,Completed,98.17.15.72,6/22/2021 21:29,0,163,1,,,,,,,,,US,FL,PASS,,1,2,4,3,3,,4,"IT'S NOT GREAT BECAUSE IT IMPACTS TENANTS, HOWEVER, THEIR CUSTOMER IS NOT THE TENANT. SO IT MAKES SENSE FROM A BUSINESS STAND-POINT TO LOOK OUT FOR THEIR ACTUAL CUSTOMERS",,3,5,3,5,3,6,2,5,101499,,3,3,3,3,3,2,2,3,22
47713116,Completed,223.233.77.224,6/22/2021 21:30,0,262,1,,,,,,,,,IN,UP,PASS,,1,1,2,5,2,,4,I think there is a valid reasoning for both parties. Probably they should consider increasing the fee to only some extent.,,5,4,7,4,5,2,5,2,326422,,5,4,7,4,5,6,5,6,42
47713202,Completed,45.127.44.68,6/22/2021 21:32,0,464,1,,,,,,,,,IN,MH,PASS,,1,1,3,4,4,,4,"Sales commissions are increased as per standard in the industry, so there is nothing wrong in that, market inflation rate correction required in every 2-3 years",,2,6,2,2,2,3,2,5,528315,,2,2,2,6,2,5,2,3,24
47713203,Completed,207.44.32.7,6/22/2021 21:32,0,786,1,,,,,,,,,US,PA,PASS,,1,2,4,3,3,,4,I think it is bad. They should not charge the tenants more rent. They are suffering paying more rent. They are in a bad situation because they can not move. It is awful to take it out on them. ,,7,2,7,1,7,3,7,1,872356,,7,6,7,7,7,5,7,7,53
47713368,Completed,138.207.140.61,6/22/2021 21:35,0,305,1,,,,,,,,,US,PA,PASS,,1,1,5,2,2,,4,"I think raising rents will be a burden on their tenants. While I understand the need for profits, if every company acted this way society would suffer. ",,6,3,6,2,6,1,6,2,684444,,6,5,6,6,6,7,6,6,48
47713453,Completed,116.88.13.195,6/22/2021 21:37,0,1007,1,,,,,,,,,SG,,PASS,,1,1,3,4,3,,4,Business is first and foremost of the minds of people running the firm. It is a profit driven company and constantly looking for ways to increase revenue. Company seems creative in inventing ways to generate extra profit. However increasing the rental loses trust of the clients. The management lacks the human touch.,,5,3,6,2,7,1,5,1,682838,,5,5,6,6,7,7,5,7,48
47713607,Completed,96.37.37.113,6/22/2021 21:40,0,806,1,,,,,,,,,US,SC,PASS,,1,1,3,4,4,,4,they can charge whatever they want but they will lose their tenants. there reputation will be tarnished also,,6,2,7,1,6,2,5,2,921667,,6,6,7,7,6,6,5,6,49
47714963,Completed,73.236.40.189,6/22/2021 22:09,0,386,1,,,,,,,,,US,PA,PASS,,1,1,5,2,3,,4,"Crimson One appears to be taking advantage of their existing customers by charging them more because they know how much of an inconvenience it is to move. This behavior seems to be based solely on greed as the company is doing well. The company could make more money, even at a standardized commission rate, by selling more houses but chooses instead to gouge their customers. I think Crimson One is both greedy and lazy.",,7,2,6,1,7,1,6,2,134679,,7,6,6,7,7,7,6,6,52
47715116,Completed,198.71.99.128,6/22/2021 22:10,0,159,1,,,,,,,,,US,,PASS,,1,2,4,4,2,,4,I think that as long as their are people who will pay it they can raise the price if they want. ,,2,5,5,4,2,1,1,5,123412,,2,3,5,4,2,7,1,3,27
47715473,Completed,73.28.133.228,6/22/2021 22:18,0,682,1,,,,,,,,,US,FL,PASS,,1,2,5,5,4,,4,"I think they are taking advantage of their customers.  At the same time, they are making a business decision and their tenants have the option of moving.",,6,2,7,1,6,1,5,2,909600,,6,6,7,7,6,7,5,6,50
47716124,Completed,73.130.10.108,6/22/2021 22:26,0,161,1,,,,,,,,,US,PA,PASS,,1,1,4,2,2,,4,"It's not very nice to the tenants clearly, but it's business and they're doing what's expected.  I'm not sure I would rent from them if I were in the market for a place but if I were already in one of their properties and had nowhere else to go, I guess I would need to accept the increase.",,5,4,6,4,6,1,5,4,832711,,5,4,6,4,6,7,5,4,41
47716777,Completed,72.76.190.4,6/22/2021 22:35,0,361,1,,,,,,,,,US,NJ,PASS,,1,1,3,5,3,,4,"I think the behavior of Crimson One, while legal, borders on predatory.  The firm is taking advantage of the fact that moving is costly and difficult, so its renters are unlikely to vacate even when the rents rise.  It shows that this company will act to the detriment of its clients if it will financially benefits the firm. ",,7,7,7,1,7,1,7,1,230829,,7,1,7,7,7,7,7,7,50
47717289,Completed,134.209.221.96,6/22/2021 22:43,0,283,1,,,,,,,,,US,NJ,PASS,,1,2,2,4,2,,4,I think that the firm is greedy. The firm does not want to lose its customers and it is also greedy.,,7,1,7,6,7,6,2,2,915726,,7,7,7,2,7,2,2,6,40
47720807,Completed,70.185.96.81,6/22/2021 23:35,0,186,1,,,,,,,,,US,FL,PASS,,1,1,5,4,1,,4,I dont believe it is right for the company to charge high rents. People's lives are impacted negatively.,,5,2,4,3,7,1,4,1,493001,,5,6,4,5,7,7,4,7,45
47723859,Completed,173.73.145.157,6/22/2021 23:46,0,139,1,,,,,,,,,US,VA,PASS,,1,1,2,4,3,,4,It doesn't really seem ethical and they're clearly showing they put profits ahead of people. But I do think that in the end that's how most companies operate and they aren't really doing anything wrong.,,5,2,6,7,5,1,2,2,987549,,5,6,6,1,5,7,2,6,38
47726547,Completed,97.82.242.255,6/22/2021 23:54,0,273,1,,,,,,,,,US,NC,PASS,,1,1,2,4,3,,4,I think it's wrong they raised the price on tenants to turn a profit. They were already making a good profit and didn't need to do that.,,6,4,6,6,7,2,5,2,286021,,6,4,6,2,7,6,5,6,42
47732687,Completed,192.183.211.83,6/23/2021 0:13,0,271,1,,,,,,,,,US,OR,PASS,,1,2,4,4,3,,4,I FEEL THE BEHAVIOR OF Crimson ONE IS NOT FAIR TO TENANTS. IF THEY EXPERIENCED INCREASE IN COSTS THE INCREASE IN RENTS WOULD BE FAIR BUT IN THIS CASE IT IS UNACCEPTABLE IN MY OPINION.,,6,2,6,2,6,2,6,2,248801,,6,6,6,6,6,6,6,6,48
47733838,Completed,73.55.204.192,6/23/2021 0:17,0,265,1,,,,,,,,,US,TX,PASS,,1,1,3,4,1,,4,"I think the firm is willing to do anything to boost its profits. However, I am not surprised by its behavior because that is more or less what every company is going to do.",,7,1,7,1,7,1,7,1,381957,,7,7,7,7,7,7,7,7,56
47734829,Completed,75.89.172.170,6/23/2021 0:20,0,662,1,,,,,,,,,US,KY,PASS,,1,2,5,3,2,,4,I think that they are trying to stay up with what is going on in the housing market and they do not what to lose out on making more money . That they feel that this is a great time for them to increase the rent on people and really are not thinking about the people that do rent from them. They are only looking out for the company and not the renters in this case . They are really being selfish ,,7,5,7,1,7,2,4,3,457826,,7,3,7,7,7,6,4,5,46
47745791,Completed,174.17.150.253,6/23/2021 0:52,0,114,1,,,,,,,,,US,AZ,PASS,,1,1,3,4,2,,4,They are greedy but they can get away with it,,7,2,7,1,7,1,6,1,851199,,7,6,7,7,7,7,6,7,54
47747803,Completed,73.214.178.170,6/23/2021 0:58,0,240,1,,,,,,,,,US,OH,PASS,,1,1,3,3,1,,4,To make more money since other places are doing it. People won't move and stay there because other places are doing the same thing.,,7,2,7,1,6,1,4,1,379560,,7,6,7,7,6,7,4,7,51
47752756,Completed,73.214.178.170,6/23/2021 1:12,0,240,1,,,,,,,,,US,OH,PASS,,1,2,3,4,2,,4,To charge more money for the people paying rent and make more money. Also people won't move due to not being able to.,,7,1,6,1,7,1,5,1,480183,,7,7,6,7,7,7,5,7,53
47753789,Completed,73.237.88.24,6/23/2021 1:15,0,128,1,,,,,,,,,US,GA,PASS,,1,2,2,2,1,,4,"I think what they did was standard practice. I like that they didn't single out any particular customer, just raised prices for everyone.",,3,5,2,5,3,3,1,4,761355,,3,3,2,3,3,5,1,4,24
47771117,Completed,71.202.98.199,6/23/2021 1:52,0,119,1,,,,,,,,,US,CA,PASS,,1,1,2,4,4,,4,The behavior makes sense as long as it’s the same as other firm’s strategies in the market,,4,4,5,4,4,3,4,4,383628,,4,4,5,4,4,5,4,4,34
47772844,Completed,72.218.200.223,6/23/2021 1:57,0,282,1,,,,,,,,,US,VA,PASS,,1,1,3,4,3,,4,I don't know if this is illegal or not but it's definitely unethical. Crimson One knew many tenants would rather pay a higher rent than go through with the hassle of moving. It's exploitation and immoral.,,7,1,7,1,7,1,7,1,803554,,7,7,7,7,7,7,7,7,56
47792456,Completed,103.147.209.192,6/23/2021 2:57,0,227,1,,,,,,,,,IN,KL,PASS,,1,1,4,5,2,,4,The company wish to make more profits. I think it is usual in business.,,4,3,5,3,5,3,4,3,232323,,4,5,5,5,5,5,4,5,38
47797519,Completed,24.18.153.117,6/23/2021 3:17,0,150,1,,,,,,,,,US,WA,PASS,,1,1,2,4,1,,4,"It is probably a pretty common thing in a typical, non-pandemic world. Businesses are businesses at the end of the day, and the goal is to make a profit. As long as the amount for the rent increased isn't absurdly high, I don't think it is too big of a deal, depending on the situation of course.",,5,4,6,3,4,1,4,3,118163,,5,4,6,5,4,7,4,5,40
47804148,Completed,104.138.194.3,6/23/2021 3:46,0,198,1,,,,,,,,,US,NC,PASS,,1,2,2,2,3,,4,"I understand it from a business standpoint but wish they would do more to protect their customers, ie. tenants",,5,4,6,4,4,2,3,3,549872,,5,4,6,4,4,6,3,5,37
47804460,Completed,67.9.86.86,6/23/2021 3:47,0,281,1,,,,,,,,,US,FL,PASS,,1,2,3,4,2,,4,I think it is wrong.  They are putting the tenants in a bad position.  They changed the rate to an abnormal amount.,,7,1,6,1,7,1,7,1,873158,,7,7,6,7,7,7,7,7,55
47810807,Completed,174.101.212.155,6/23/2021 4:18,0,146,1,,,,,,,,,US,OH,PASS,,1,1,3,2,2,,4,It upsets me that they started charging higher than normal rent to tenants. But I suppose that's just business.,,6,2,6,2,6,2,6,2,484751,,6,6,6,6,6,6,6,6,48
47813655,Completed,173.88.8.208,6/23/2021 4:33,0,283,1,,,,,,,,,US,OH,PASS,,1,2,5,4,1,,4,I don't think it is fair to charge tenants more. They should not have to pay higher rents just to make a company richer. Crimson One needs to find a different way to boost profits. ,,7,1,7,1,7,1,6,2,303030,,7,7,7,7,7,7,6,6,54
47814022,Completed,100.8.204.33,6/23/2021 4:35,0,98,1,,,,,,,,,US,NJ,PASS,,1,1,2,5,4,,4,Crimson One is trying to maximize revenue & profits. It's doing what every other business would do in its situation.,,2,5,3,3,3,3,3,4,89112,,2,3,3,5,3,5,3,4,28
47821892,Completed,79.67.125.156,6/23/2021 5:57,0,280,1,,,,,,,,,GB,KEN,PASS,,1,2,4,3,2,,4,I think their behaviour is justified because the cost of living is rising continuously. Although they should have assessed the tenants to make sure the vulnerable and the low income ones could still afford the higher rent without their living standards affected.,,4,5,6,5,4,2,2,4,80276,,4,3,6,3,4,6,2,4,32
47827172,Completed,106.214.8.172,6/23/2021 7:44,0,323,1,,,,,,,,,IN,MP,PASS,,1,1,3,5,1,,4,Crimson One company is using unethical way of money earning,,6,2,6,2,6,2,6,2,121121,,6,6,6,6,6,6,6,6,48
47828563,Completed,216.164.112.118,6/23/2021 8:14,0,262,1,,,,,,,,,US,PA,PASS,,1,1,3,2,2,,4,"I think it's a justified price increase.  If it was too high, those renters can leave.  Crimson One should have the right to charge whatever they want because they own the property.",,5,4,6,1,6,1,2,4,992572,,5,4,6,7,6,7,2,4,41
47828901,Completed,67.169.110.242,6/23/2021 8:20,0,363,1,,,,,,,,,US,CA,PASS,,1,1,3,2,3,,4,They were already in a good financial situation and still chose to increase their profits by charging higher rent. Not a good look for the company.,,6,2,6,2,7,1,7,1,512477,,6,6,6,6,7,7,7,7,52
47833624,Completed,162.192.209.190,6/23/2021 9:45,0,518,1,,,,,,,,,US,MO,PASS,,1,1,5,3,3,,4,I don't agree with their strategy. They are gaining profits but not providing extra service.,,6,2,7,2,2,1,7,2,396481,,6,6,7,6,2,7,7,6,47
47841359,Completed,68.118.158.89,6/23/2021 12:16,0,242,1,,,,,,,,,US,MI,PASS,,1,2,3,2,1,,4,"I think that Crimson One's behavior is quite unfair and largely impacts lower income households. If I were looking to rent or buy a home, I would be very discouraged from doing business with Crimson One as I would not want to support such business practices. I find their business practices to be quite unethical.",,7,1,5,1,7,1,7,1,639814,,7,7,5,7,7,7,7,7,54
47845683,Completed,72.77.26.45,6/23/2021 14:37,0,251,1,,,,,,,,,US,PA,PASS,,1,2,3,4,3,,4,"I think their behavior is wrong. Increasing rental rates, in this case, is abusive to renters. While I think it is ok (and expected) for landlords to occasionally increase rent to cover increases in taxes, etc, raising rents simply because they can get more money is wrong...especially in this case, they know that the tenants can't afford to move.",,7,1,7,1,7,1,7,1,516974,,7,7,7,7,7,7,7,7,56
