Size,Group,Score
Small,Local,54
Small,Local,48
Small,Local,56
Small,Local,51
Small,Local,40
Small,Local,35
Small,Local,48
Small,Local,55
Small,Local,47
Small,Local,48
Small,Local,55
Small,Local,48
Small,Local,43
Small,Local,56
Small,Local,48
Small,Local,56
Small,Local,42
Small,Local,45
Small,Local,50
Small,Local,44
Small,Local,56
Small,Local,56
Small,Local,50
Small,Local,51
Small,Local,56
Small,Local,55
Small,Local,53
Small,Local,53
Small,Local,50
Small,Local,54
Small,Local,49
Small,Local,35
Small,Local,48
Small,Local,29
Small,Local,56
Small,Local,43
Small,Local,56
Small,Local,37
Small,Local,46
Small,Local,56
Small,Local,56
Small,Local,56
Small,Local,53
Small,Local,49
Small,Local,49
Small,Local,49
Small,Local,52
Small,Local,51
Small,Local,56
Small,Local,53
Small,Local,46
Small,Local,53
Small,Local,46
Small,Local,56
Small,Local,55
Small,Local,52
Small,Local,56
Small,Local,44
Small,Local,53
Small,Local,52
Small,Local,54
Small,Local,48
Small,Local,53
Small,Local,35
Small,Local,48
Small,Local,56
Small,Local,55
Small,Local,50
Small,Local,48
Small,Local,51
Small,Local,52
Small,Local,41
Small,Local,47
Small,Local,47
Small,Local,45
Small,Local,48
Small,Local,47
Small,Local,49
Small,Local,55
Small,Local,43
Small,Local,48
Small,Local,47
Small,Local,55
Small,Local,53
Small,Local,53
Small,Local,42
Small,Local,51
Small,Local,40
Small,Local,48
Small,Local,50
Small,Local,49
Small,Local,50
Small,Local,47
Small,Local,51
Small,Local,50
Small,Local,50
Small,Local,46
Small,Local,33
Small,Local,50
Small,Local,54
Small,Local,55
Small,Local,46
Small,Local,41
Small,Local,41
Small,Local,49
Small,Local,44
Small,Local,47
Small,Local,54
Small,Local,50
Small,Local,55
Small,Local,49
Small,Local,45
Small,Local,53
Small,Local,55
Small,Local,54
Small,Local,45
Small,Local,51
Small,Local,56
Small,Local,49
Small,Local,51
Small,Local,42
Small,Local,56
Small,Local,41
Small,Local,51
Small,Local,44
Small,Local,52
Small,Local,55
Small,Local,48
Small,Local,55
Small,Foreign,55
Small,Foreign,55
Small,Foreign,54
Small,Foreign,50
Small,Foreign,49
Small,Foreign,49
Small,Foreign,53
Small,Foreign,52
Small,Foreign,50
Small,Foreign,53
Small,Foreign,37
Small,Foreign,44
Small,Foreign,54
Small,Foreign,46
Small,Foreign,48
Small,Foreign,50
Small,Foreign,43
Small,Foreign,49
Small,Foreign,41
Small,Foreign,24
Small,Foreign,39
Small,Foreign,45
Small,Foreign,48
Small,Foreign,44
Small,Foreign,51
Small,Foreign,47
Small,Foreign,34
Small,Foreign,47
Small,Foreign,48
Small,Foreign,49
Small,Foreign,52
Small,Foreign,56
Small,Foreign,56
Small,Foreign,54
Small,Foreign,54
Small,Foreign,56
Small,Foreign,56
Small,Foreign,51
Small,Foreign,56
Small,Foreign,44
Small,Foreign,55
Small,Foreign,40
Small,Foreign,54
Small,Foreign,56
Small,Foreign,49
Small,Foreign,49
Small,Foreign,49
Small,Foreign,56
Small,Foreign,47
Small,Foreign,52
Small,Foreign,56
Small,Foreign,48
Small,Foreign,50
Small,Foreign,50
Small,Foreign,52
Small,Foreign,44
Small,Foreign,48
Small,Foreign,48
Small,Foreign,39
Small,Foreign,48
Small,Foreign,38
Small,Foreign,53
Small,Foreign,56
Small,Foreign,56
Small,Foreign,55
Small,Foreign,55
Small,Foreign,47
Small,Foreign,55
Small,Foreign,50
Small,Foreign,47
Small,Foreign,47
Small,Foreign,54
Small,Foreign,54
Small,Foreign,47
Small,Foreign,56
Small,Foreign,40
Small,Foreign,45
Small,Foreign,56
Small,Foreign,55
Small,Foreign,55
Small,Foreign,55
Small,Foreign,53
Small,Foreign,56
Small,Foreign,56
Small,Foreign,56
Small,Foreign,51
Small,Foreign,47
Small,Foreign,43
Small,Foreign,43
Small,Foreign,51
Small,Foreign,41
Small,Foreign,56
Small,Foreign,46
Small,Foreign,50
Small,Foreign,51
Small,Foreign,35
Small,Foreign,43
Small,Foreign,52
Small,Foreign,47
Small,Foreign,41
Small,Foreign,33
Small,Foreign,50
Small,Foreign,34
Small,Foreign,56
Small,Foreign,52
Small,Foreign,46
Small,Foreign,49
Small,Foreign,49
Small,Foreign,55
Small,Foreign,40
Small,Foreign,51
Small,Foreign,42
Small,Foreign,56
Small,Foreign,56
Small,Foreign,56
Small,Foreign,46
Small,Foreign,46
Small,Foreign,49
Small,Foreign,50
Small,Foreign,53
Small,Foreign,55
Small,Foreign,56
Small,Foreign,44
Large,Local,56
Large,Local,53
Large,Local,41
Large,Local,51
Large,Local,55
Large,Local,52
Large,Local,55
Large,Local,51
Large,Local,55
Large,Local,43
Large,Local,52
Large,Local,46
Large,Local,48
Large,Local,39
Large,Local,39
Large,Local,56
Large,Local,55
Large,Local,56
Large,Local,41
Large,Local,49
Large,Local,56
Large,Local,41
Large,Local,52
Large,Local,54
Large,Local,51
Large,Local,56
Large,Local,56
Large,Local,56
Large,Local,55
Large,Local,54
Large,Local,56
Large,Local,56
Large,Local,46
Large,Local,50
Large,Local,51
Large,Local,54
Large,Local,40
Large,Local,56
Large,Local,54
Large,Local,42
Large,Local,55
Large,Local,54
Large,Local,54
Large,Local,54
Large,Local,56
Large,Local,56
Large,Local,51
Large,Local,56
Large,Local,56
Large,Local,51
Large,Local,56
Large,Local,56
Large,Local,51
Large,Local,53
Large,Local,50
Large,Local,56
Large,Local,54
Large,Local,40
Large,Local,51
Large,Local,56
Large,Local,55
Large,Local,50
Large,Local,56
Large,Local,52
Large,Local,56
Large,Local,56
Large,Local,56
Large,Local,55
Large,Local,52
Large,Local,56
Large,Local,45
Large,Local,55
Large,Local,46
Large,Local,51
Large,Local,48
Large,Local,51
Large,Local,56
Large,Local,51
Large,Local,54
Large,Local,52
Large,Local,55
Large,Local,56
Large,Local,56
Large,Local,40
Large,Local,52
Large,Local,53
Large,Local,55
Large,Local,53
Large,Local,56
Large,Local,47
Large,Local,56
Large,Local,43
Large,Local,52
Large,Local,41
Large,Local,56
Large,Local,51
Large,Local,54
Large,Local,56
Large,Local,55
Large,Local,52
Large,Local,46
Large,Local,56
Large,Local,56
Large,Local,53
Large,Local,56
Large,Local,56
Large,Local,43
Large,Local,46
Large,Local,49
Large,Local,56
Large,Local,45
Large,Local,49
Large,Local,55
Large,Local,49
Large,Local,56
Large,Local,51
Large,Local,56
Large,Local,48
Large,Local,55
Large,Local,43
Large,Local,48
Large,Local,55
Large,Foreign,56
Large,Foreign,49
Large,Foreign,55
Large,Foreign,52
Large,Foreign,49
Large,Foreign,55
Large,Foreign,56
Large,Foreign,55
Large,Foreign,48
Large,Foreign,56
Large,Foreign,56
Large,Foreign,56
Large,Foreign,43
Large,Foreign,44
Large,Foreign,48
Large,Foreign,46
Large,Foreign,56
Large,Foreign,55
Large,Foreign,45
Large,Foreign,45
Large,Foreign,56
Large,Foreign,54
Large,Foreign,55
Large,Foreign,56
Large,Foreign,56
Large,Foreign,43
Large,Foreign,41
Large,Foreign,52
Large,Foreign,55
Large,Foreign,54
Large,Foreign,50
Large,Foreign,54
Large,Foreign,49
Large,Foreign,48
Large,Foreign,49
Large,Foreign,56
Large,Foreign,56
Large,Foreign,55
Large,Foreign,56
Large,Foreign,42
Large,Foreign,44
Large,Foreign,56
Large,Foreign,46
Large,Foreign,55
Large,Foreign,56
Large,Foreign,56
Large,Foreign,56
Large,Foreign,55
Large,Foreign,56
Large,Foreign,56
Large,Foreign,43
Large,Foreign,56
Large,Foreign,56
Large,Foreign,55
Large,Foreign,56
Large,Foreign,55
Large,Foreign,44
Large,Foreign,54
Large,Foreign,41
Large,Foreign,50
Large,Foreign,52
Large,Foreign,54
Large,Foreign,56
Large,Foreign,49
Large,Foreign,56
Large,Foreign,56
Large,Foreign,54
Large,Foreign,55
Large,Foreign,53
Large,Foreign,56
Large,Foreign,55
Large,Foreign,56
Large,Foreign,51
Large,Foreign,50
Large,Foreign,55
Large,Foreign,48
Large,Foreign,55
Large,Foreign,56
Large,Foreign,56
Large,Foreign,54
Large,Foreign,41
Large,Foreign,48
Large,Foreign,51
Large,Foreign,55
Large,Foreign,56
Large,Foreign,53
Large,Foreign,40
Large,Foreign,55
Large,Foreign,56
Large,Foreign,56
Large,Foreign,54
Large,Foreign,49
Large,Foreign,55
Large,Foreign,46
Large,Foreign,50
Large,Foreign,49
Large,Foreign,56
Large,Foreign,56
Large,Foreign,55
Large,Foreign,54
Large,Foreign,56
Large,Foreign,54
Large,Foreign,56
Large,Foreign,45
Large,Foreign,56
Large,Foreign,53
Large,Foreign,56
Large,Foreign,56
Large,Foreign,47
Large,Foreign,53
Large,Foreign,56
Large,Foreign,53
Large,Foreign,54
Large,Foreign,50
Large,Foreign,44
Large,Foreign,51
Large,Foreign,56
Large,Foreign,56
Large,Foreign,56
Large,Foreign,49
Large,Foreign,56
Large,Foreign,56
