Size,Group,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,Score,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep2,Bla1,Bla2,Bla3
Small,Local,6,7,7,7,7,7,6,7,54,7,7,1,6,6,6,7,7,7,7,7
Small,Local,6,6,6,6,6,6,6,6,48,6,6,7,6,7,7,7,6,1,6,2
Small,Local,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Local,6,6,7,7,6,7,5,7,51,7,4,6,7,6,7,5,5,7,7,7
Small,Local,5,5,5,6,6,5,3,5,40,6,6,5,5,2,5,6,5,7,7,7
Small,Local,4,3,5,5,5,6,3,4,35,4,4,2,2,4,3,5,4,5,5,4
Small,Local,6,6,6,5,7,6,5,7,48,7,7,5,6,7,6,7,5,6,7,7
Small,Local,7,7,6,7,7,7,7,7,55,7,7,7,7,7,7,7,7,7,7,7
Small,Local,5,5,7,7,6,7,5,5,47,7,7,5,6,7,7,7,5,7,7,6
Small,Local,6,6,6,6,6,6,6,6,48,7,7,7,7,7,7,7,7,7,7,7
Small,Local,7,7,7,7,7,7,6,7,55,6,6,5,7,6,7,7,7,7,7,7
Small,Local,6,6,6,6,6,6,6,6,48,4,4,4,7,7,7,7,7,7,7,7
Small,Local,5,5,6,6,7,6,2,6,43,7,7,4,5,7,6,2,2,6,6,5
Small,Local,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Local,6,6,6,6,6,6,6,6,48,7,7,6,6,5,6,5,4,7,7,7
Small,Local,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Local,7,7,7,7,7,1,5,1,42,1,1,7,7,7,7,7,7,7,7,7
Small,Local,5,6,6,6,7,6,4,5,45,7,6,5,6,6,6,6,5,7,7,6
Small,Local,6,5,6,6,7,7,7,6,50,7,7,6,6,6,7,7,6,7,7,7
Small,Local,5,5,5,3,7,6,7,6,44,7,7,5,6,7,7,7,7,7,7,7
Small,Local,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,1
Small,Local,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Local,7,7,7,7,7,7,7,1,50,7,7,7,7,7,7,7,6,6,6,7
Small,Local,5,6,6,6,7,7,7,7,51,7,7,5,6,7,6,7,7,7,7,7
Small,Local,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Local,7,7,7,7,7,7,6,7,55,7,7,7,7,7,7,7,7,7,7,7
Small,Local,7,7,6,7,7,7,6,6,53,7,5,6,7,7,6,7,6,7,7,7
Small,Local,7,7,6,7,7,7,5,7,53,7,7,6,7,7,7,7,6,7,7,7
Small,Local,6,6,6,6,7,7,6,6,50,6,6,5,6,6,6,7,6,7,7,7
Small,Local,7,7,7,6,7,7,7,6,54,7,6,1,1,6,6,7,7,7,6,6
Small,Local,6,6,7,6,7,6,5,6,49,7,7,6,6,6,6,6,6,6,6,6
Small,Local,4,3,6,6,5,5,3,3,35,5,3,5,3,3,4,4,6,2,4,6
Small,Local,6,6,6,6,6,6,6,6,48,6,6,6,6,6,7,7,6,6,6,6
Small,Local,2,2,7,3,4,5,2,4,29,2,2,4,3,2,1,5,5,2,2,2
Small,Local,7,7,7,7,7,7,7,7,56,4,4,4,7,7,7,7,7,7,7,7
Small,Local,6,6,6,1,6,6,6,6,43,6,6,5,6,6,6,5,6,3,6,7
Small,Local,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Local,5,5,5,5,5,4,4,4,37,4,4,5,5,4,4,4,4,4,4,4
Small,Local,7,6,7,7,7,7,2,3,46,5,5,6,7,7,7,7,7,7,7,7
Small,Local,7,7,7,7,7,7,7,7,56,7,7,7,7,1,7,7,7,7,1,7
Small,Local,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Local,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Local,7,7,7,7,7,7,4,7,53,4,4,7,7,7,7,7,7,7,7,7
Small,Local,7,7,7,7,7,1,6,7,49,7,7,7,7,7,7,7,7,7,7,7
Small,Local,6,6,5,5,6,7,7,7,49,7,7,5,6,7,7,6,5,7,7,7
Small,Local,7,7,7,1,7,7,6,7,49,7,7,7,7,7,7,7,7,7,7,7
Small,Local,6,7,6,7,7,7,5,7,52,7,7,7,7,7,7,6,7,7,7,7
Small,Local,6,7,6,6,6,7,6,7,51,7,7,7,7,7,7,7,7,7,7,7
Small,Local,7,7,7,7,7,7,7,7,56,2,2,7,7,7,7,7,7,7,7,7
Small,Local,7,7,6,7,7,6,6,7,53,7,6,6,7,6,7,7,7,7,6,6
Small,Local,7,7,6,1,7,7,5,6,46,7,7,7,6,7,7,7,6,7,7,7
Small,Local,7,7,7,7,7,7,4,7,53,6,7,4,6,7,7,6,6,7,7,7
Small,Local,6,6,6,6,7,6,4,5,46,5,5,5,6,4,5,5,4,6,6,6
Small,Local,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,1
Small,Local,6,7,7,7,7,7,7,7,55,4,2,5,7,7,6,7,7,7,6,6
Small,Local,7,7,6,7,7,6,6,6,52,7,7,6,6,6,7,7,6,7,7,7
Small,Local,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Local,5,6,6,6,5,6,5,5,44,4,5,5,5,6,5,5,5,6,5,5
Small,Local,7,6,7,7,7,7,7,5,53,6,7,7,6,7,7,7,7,7,7,7
Small,Local,7,6,6,7,6,7,6,7,52,7,3,7,7,7,7,7,6,7,7,7
Small,Local,6,7,7,7,7,7,6,7,54,7,7,6,6,7,6,7,6,7,7,6
Small,Local,6,6,6,6,6,6,6,6,48,7,7,6,7,7,7,7,7,7,7,7
Small,Local,7,7,7,7,7,7,7,4,53,7,7,7,7,7,7,7,7,7,7,7
Small,Local,6,6,4,1,2,7,3,6,35,4,4,7,7,4,2,2,4,7,7,4
Small,Local,6,6,6,6,6,6,6,6,48,6,6,6,6,6,6,7,6,6,6,6
Small,Local,7,7,7,7,7,7,7,7,56,7,2,7,7,7,7,7,7,7,7,7
Small,Local,7,7,6,7,7,7,7,7,55,7,7,7,7,7,7,7,7,7,7,7
Small,Local,6,6,6,6,7,7,6,6,50,6,3,7,6,6,6,6,6,7,6,7
Small,Local,6,7,5,6,6,7,6,5,48,6,7,2,5,7,5,5,3,4,1,5
Small,Local,7,6,7,7,7,7,4,6,51,7,4,4,4,7,7,7,7,7,7,7
Small,Local,7,7,6,7,7,7,4,7,52,7,7,7,7,7,7,7,7,4,7,7
Small,Local,5,5,6,5,4,7,4,5,41,4,4,5,5,6,5,6,6,7,6,6
Small,Local,6,6,6,6,7,6,5,5,47,6,6,6,6,6,7,7,6,7,7,7
Small,Local,6,7,6,7,7,2,6,6,47,7,5,6,6,7,7,6,6,7,7,7
Small,Local,6,5,5,6,6,7,6,4,45,5,5,6,6,6,6,7,6,6,5,6
Small,Local,6,7,5,6,7,6,5,6,48,7,5,4,6,7,6,7,5,7,6,7
Small,Local,6,6,6,6,6,6,5,6,47,7,7,7,7,7,6,6,7,7,7,7
Small,Local,6,7,6,7,7,7,4,5,49,5,6,6,6,7,1,7,7,7,7,7
Small,Local,7,7,7,7,7,7,6,7,55,7,7,7,7,7,7,7,7,7,7,7
Small,Local,6,6,5,3,6,6,6,5,43,5,5,5,6,6,6,3,3,5,2,3
Small,Local,6,6,6,6,6,6,6,6,48,4,4,7,7,7,7,7,7,7,7,7
Small,Local,6,6,6,6,6,6,5,6,47,5,5,4,5,5,6,6,6,6,5,6
Small,Local,7,6,7,7,7,7,7,7,55,7,7,7,7,7,7,7,7,7,7,7
Small,Local,7,7,6,7,7,7,5,7,53,7,7,6,7,7,7,4,6,7,7,6
Small,Local,6,7,6,7,7,7,6,7,53,7,6,6,6,7,7,7,6,7,7,7
Small,Local,5,6,5,6,5,4,5,6,42,7,7,4,5,7,7,6,7,2,6,6
Small,Local,7,7,7,7,6,6,5,6,51,6,6,6,7,6,6,6,5,7,7,7
Small,Local,6,6,5,3,5,6,4,5,40,5,6,5,5,6,6,5,5,6,5,6
Small,Local,6,6,6,6,6,6,6,6,48,5,6,6,6,7,7,7,7,7,7,7
Small,Local,7,7,7,2,7,6,7,7,50,7,7,6,7,6,7,7,7,7,7,7
Small,Local,6,6,6,6,7,6,6,6,49,6,7,6,6,6,6,7,7,7,7,6
Small,Local,7,7,7,1,7,7,7,7,50,7,7,7,7,7,7,7,7,7,7,7
Small,Local,3,6,5,5,7,7,7,7,47,6,6,3,5,7,6,6,6,6,7,7
Small,Local,6,6,7,6,7,7,6,6,51,7,7,7,6,7,7,7,7,7,7,6
Small,Local,6,6,6,6,6,7,7,6,50,7,7,7,7,7,7,7,7,7,7,7
Small,Local,6,6,6,6,7,7,6,6,50,6,7,6,6,7,7,7,6,7,7,6
Small,Local,6,6,7,5,7,6,3,6,46,7,7,5,5,7,6,7,7,7,7,7
Small,Local,6,2,5,3,6,2,4,5,33,5,6,4,5,5,5,6,6,2,6,6
Small,Local,7,6,6,7,7,7,5,5,50,6,7,6,6,6,7,7,7,7,7,7
Small,Local,7,7,6,6,7,7,7,7,54,7,7,7,7,7,7,7,7,7,7,7
Small,Local,7,7,7,7,7,7,6,7,55,7,7,6,7,7,7,6,6,7,7,7
Small,Local,7,7,6,1,7,7,4,7,46,4,4,5,7,7,7,7,7,7,7,7
Small,Local,6,6,5,6,6,5,3,4,41,5,4,5,6,6,6,6,5,6,5,5
Small,Local,5,5,6,4,6,5,5,5,41,7,7,4,5,7,6,7,7,7,7,5
Small,Local,6,7,6,7,6,6,5,6,49,6,6,5,5,6,7,7,6,7,7,7
Small,Local,5,5,5,6,5,7,6,5,44,6,7,6,6,6,5,7,7,7,6,6
Small,Local,7,7,6,7,7,7,4,2,47,4,6,3,2,2,4,3,6,4,1,5
Small,Local,7,7,6,7,7,7,6,7,54,7,7,7,7,7,7,7,7,7,7,7
Small,Local,6,7,6,6,7,7,5,6,50,7,5,3,6,6,6,7,5,7,6,3
Small,Local,7,7,7,7,7,7,6,7,55,7,7,6,7,7,7,6,5,7,6,5
Small,Local,6,7,6,6,6,6,6,6,49,6,4,6,6,7,7,6,5,7,7,7
Small,Local,6,6,6,6,7,5,4,5,45,6,6,2,3,4,6,2,4,6,4,3
Small,Local,7,7,7,7,7,6,6,6,53,6,5,7,6,6,7,5,6,6,6,6
Small,Local,7,7,7,7,7,7,7,6,55,7,7,6,7,7,7,6,7,7,7,7
Small,Local,7,7,6,7,7,7,6,7,54,7,7,7,7,7,7,6,7,7,7,7
Small,Local,6,6,6,6,6,7,4,4,45,6,5,4,6,6,2,6,4,6,6,4
Small,Local,6,7,6,6,7,7,6,6,51,7,6,6,5,7,7,7,5,7,7,7
Small,Local,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Local,7,6,6,6,6,7,5,6,49,6,5,5,5,5,6,6,5,6,6,6
Small,Local,6,7,6,7,6,7,6,6,51,7,7,6,6,6,7,6,6,7,6,6
Small,Local,6,6,6,2,6,6,5,5,42,2,2,6,6,6,6,6,6,6,6,6
Small,Local,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Local,6,6,6,4,6,6,3,4,41,4,4,1,6,7,4,6,4,7,7,7
Small,Local,6,6,7,7,7,7,4,7,51,7,1,7,6,6,6,7,6,7,6,6
Small,Local,5,5,6,6,6,7,5,4,44,6,6,3,5,6,6,7,6,7,7,7
Small,Local,7,7,6,6,7,7,5,7,52,4,6,7,7,7,6,5,7,7,7,6
Small,Local,7,7,6,7,7,7,7,7,55,7,7,7,7,7,7,7,7,7,7,7
Small,Local,6,6,6,6,6,6,6,6,48,7,7,7,7,7,7,7,7,7,7,7
Small,Local,7,7,6,7,7,7,7,7,55,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,7,7,7,6,7,7,7,7,55,7,7,6,6,7,7,7,7,6,7,7
Small,Foreign,7,7,7,7,7,7,7,6,55,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,7,7,7,7,7,7,6,6,54,7,6,7,7,7,7,1,6,7,7,7
Small,Foreign,6,6,7,6,7,7,5,6,50,7,7,5,6,7,7,7,7,7,7,6
Small,Foreign,5,7,6,7,7,6,6,5,49,6,6,5,6,6,6,7,7,7,7,7
Small,Foreign,6,6,6,6,6,6,6,7,49,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,7,7,7,6,7,7,6,6,53,7,7,6,6,7,6,7,7,7,6,7
Small,Foreign,7,7,7,7,7,7,3,7,52,7,7,7,7,7,7,7,6,7,7,7
Small,Foreign,7,6,6,6,7,7,5,6,50,4,4,4,6,4,1,6,7,7,7,5
Small,Foreign,7,6,7,7,7,6,7,6,53,7,7,7,6,7,7,7,7,7,7,7
Small,Foreign,5,4,5,5,5,5,4,4,37,5,4,4,4,5,5,5,4,7,7,6
Small,Foreign,6,5,6,6,6,5,6,4,44,5,5,6,6,6,5,6,5,6,4,5
Small,Foreign,5,7,7,7,7,7,7,7,54,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,6,6,6,6,6,6,5,5,46,5,6,5,5,5,4,6,4,6,6,6
Small,Foreign,6,6,6,6,6,6,6,6,48,6,7,7,7,7,7,7,7,7,7,7
Small,Foreign,7,7,7,1,7,7,7,7,50,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,5,5,6,6,7,3,6,5,43,5,7,5,5,5,6,7,6,7,7,6
Small,Foreign,6,6,6,6,6,6,6,7,49,7,7,7,7,7,7,6,7,7,7,7
Small,Foreign,5,6,5,6,6,6,3,4,41,6,5,6,5,6,6,6,7,7,5,6
Small,Foreign,2,4,5,5,2,2,2,2,24,5,6,2,2,4,3,2,1,7,4,4
Small,Foreign,5,5,5,5,6,6,3,4,39,4,4,4,5,5,4,5,4,5,5,5
Small,Foreign,7,7,6,1,6,6,6,6,45,6,6,6,6,6,6,6,6,7,7,7
Small,Foreign,6,6,6,6,6,6,6,6,48,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,5,6,5,7,5,7,5,4,44,3,3,6,7,6,2,7,6,5,5,5
Small,Foreign,7,6,7,7,7,7,4,6,51,4,4,7,7,4,5,6,6,5,7,7
Small,Foreign,6,6,6,6,6,6,5,6,47,7,7,6,6,6,7,7,7,7,6,6
Small,Foreign,4,4,4,4,5,5,4,4,34,5,5,4,4,5,4,6,4,7,7,7
Small,Foreign,6,6,6,6,6,6,4,7,47,6,7,4,7,7,6,7,7,7,7,7
Small,Foreign,6,6,6,6,6,6,6,6,48,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,6,6,6,6,6,6,6,7,49,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,7,6,7,7,7,7,5,6,52,6,6,4,7,7,7,7,5,7,7,7
Small,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,7,7,7,7,7,7,7,7,56,6,7,1,7,7,7,7,5,7,7,6
Small,Foreign,7,7,6,7,7,7,7,6,54,7,7,2,6,6,7,6,6,7,6,6
Small,Foreign,7,7,6,7,7,6,7,7,54,7,7,7,6,7,7,7,7,7,7,6
Small,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,7,7,7,7,7,2,7,7,51,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,6,6,6,6,5,5,5,5,44,5,4,5,5,5,4,5,5,4,5,5
Small,Foreign,7,7,7,7,7,7,7,6,55,7,7,7,7,7,7,7,7,7,7,6
Small,Foreign,5,5,6,5,5,5,4,5,40,5,5,5,5,5,6,6,5,7,7,7
Small,Foreign,7,6,7,7,7,7,7,6,54,6,7,6,7,7,6,7,6,7,7,6
Small,Foreign,7,7,7,7,7,7,7,7,56,4,4,7,7,7,7,7,7,7,7,7
Small,Foreign,7,6,6,6,7,7,5,5,49,6,6,5,6,6,6,7,7,7,7,7
Small,Foreign,6,6,4,7,6,6,7,7,49,7,6,1,7,7,6,7,7,7,7,7
Small,Foreign,6,6,7,6,6,7,5,6,49,7,7,6,7,7,7,7,7,7,7,7
Small,Foreign,7,7,7,7,7,7,7,7,56,7,1,7,7,4,7,7,7,7,7,7
Small,Foreign,6,6,6,6,6,6,5,6,47,6,6,2,6,6,6,7,7,7,6,6
Small,Foreign,6,6,6,7,7,7,6,7,52,7,7,6,6,7,7,7,7,7,7,7
Small,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,6,6,6,6,7,6,5,6,48,6,6,6,6,7,6,7,6,7,6,6
Small,Foreign,7,6,7,7,6,6,5,6,50,5,5,5,7,6,7,7,6,7,7,7
Small,Foreign,6,6,6,6,6,6,7,7,50,7,7,7,7,7,7,6,7,7,7,7
Small,Foreign,7,7,6,7,6,7,5,7,52,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,6,6,7,6,7,6,3,3,44,4,4,3,5,7,6,7,7,7,7,7
Small,Foreign,6,6,6,6,6,6,6,6,48,7,7,6,6,7,7,7,5,7,7,7
Small,Foreign,6,6,6,6,6,6,6,6,48,7,4,4,4,4,4,7,4,4,7,7
Small,Foreign,5,5,5,4,6,5,5,4,39,5,5,3,4,4,4,6,6,6,6,6
Small,Foreign,6,6,6,6,6,6,6,6,48,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,5,3,3,6,5,5,5,6,38,3,6,6,2,3,6,5,6,3,2,5
Small,Foreign,7,7,7,7,7,7,7,4,53,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,7,7,7,7,7,7,7,7,56,7,7,6,7,7,7,7,7,7,7,7
Small,Foreign,7,7,7,7,7,7,7,7,56,6,6,6,6,7,7,7,6,7,7,7
Small,Foreign,7,7,6,7,7,7,7,7,55,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,7,7,7,7,7,7,6,7,55,1,6,6,7,7,7,6,6,7,7,7
Small,Foreign,6,7,6,6,7,6,4,5,47,7,7,6,7,6,7,7,7,7,7,7
Small,Foreign,7,7,6,7,7,7,7,7,55,7,3,7,7,7,7,6,7,7,7,7
Small,Foreign,7,7,7,7,7,7,1,7,50,7,7,7,7,7,7,7,7,1,7,7
Small,Foreign,6,6,7,6,6,6,4,6,47,6,4,6,6,6,5,7,6,6,6,6
Small,Foreign,6,6,6,6,6,6,5,6,47,6,6,3,6,6,6,7,6,7,7,7
Small,Foreign,7,7,5,7,7,7,7,7,54,7,6,7,7,7,4,7,7,7,7,7
Small,Foreign,7,7,6,7,7,7,6,7,54,7,7,7,6,7,7,7,7,7,7,7
Small,Foreign,7,7,7,1,7,7,4,7,47,7,7,6,7,7,7,7,6,7,7,7
Small,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,6,6,6,2,5,6,3,6,40,6,6,4,5,6,5,7,6,6,7,7
Small,Foreign,5,5,6,6,7,5,6,5,45,6,5,2,7,7,4,6,5,7,7,7
Small,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,7,7,7,7,7,7,6,7,55,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,7,7,6,7,7,7,7,7,55,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,7,7,7,7,7,7,6,7,55,7,1,7,7,7,7,7,7,7,7,7
Small,Foreign,7,7,4,7,7,7,7,7,53,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,7,7,7,7,7,7,7,7,56,7,4,6,7,6,5,7,7,6,6,6
Small,Foreign,7,7,7,7,7,7,7,7,56,7,7,1,7,7,7,7,7,7,7,7
Small,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,6,6,6,6,7,7,6,7,51,7,7,6,6,7,7,7,7,7,7,7
Small,Foreign,6,7,5,6,6,6,5,6,47,7,6,5,5,6,6,6,6,6,6,6
Small,Foreign,6,5,6,6,6,6,4,4,43,5,5,4,5,6,6,6,6,7,6,7
Small,Foreign,6,5,6,6,6,5,5,4,43,6,6,4,3,6,6,6,5,3,5,5
Small,Foreign,7,6,7,7,7,7,4,6,51,6,7,6,6,7,7,6,6,7,7,7
Small,Foreign,6,6,6,2,5,6,5,5,41,7,6,5,6,7,6,6,6,7,4,5
Small,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,1,7,7,7,7,7
Small,Foreign,6,6,5,6,6,6,5,6,46,6,6,5,6,6,6,6,6,7,6,7
Small,Foreign,7,7,7,7,7,1,7,7,50,7,7,6,7,7,7,6,7,7,7,7
Small,Foreign,6,6,7,7,7,7,5,6,51,6,6,1,5,7,6,7,7,7,7,7
Small,Foreign,5,4,5,4,5,6,4,2,35,6,6,4,5,4,4,5,5,7,7,7
Small,Foreign,7,2,7,4,7,5,7,4,43,3,4,4,5,2,2,4,6,3,5,6
Small,Foreign,7,7,6,7,6,7,5,7,52,6,4,6,7,6,7,6,5,7,7,7
Small,Foreign,6,6,6,7,6,6,5,5,47,4,4,4,5,5,5,5,5,7,7,6
Small,Foreign,5,5,5,6,6,7,3,4,41,5,7,3,2,3,2,3,2,7,5,6
Small,Foreign,5,2,4,4,5,2,7,4,33,2,1,4,6,2,1,5,6,1,4,5
Small,Foreign,6,6,7,7,7,7,5,5,50,6,6,6,7,7,5,7,5,7,7,7
Small,Foreign,5,6,2,2,6,2,5,6,34,2,2,2,2,6,6,6,6,1,5,6
Small,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,6,6,6,6,7,7,7,7,52,7,7,7,6,6,7,7,7,7,7,7
Small,Foreign,5,6,6,5,7,7,6,4,46,7,7,3,5,7,5,7,6,7,6,4
Small,Foreign,6,7,6,6,6,6,6,6,49,7,7,6,6,6,6,7,6,7,7,7
Small,Foreign,7,6,7,1,7,7,7,7,49,7,7,7,7,7,7,7,7,1,7,7
Small,Foreign,7,7,7,7,7,7,6,7,55,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,5,5,6,5,4,6,4,5,40,6,6,5,5,6,6,6,6,7,7,6
Small,Foreign,7,7,5,6,6,7,7,6,51,6,6,5,6,6,7,7,5,6,7,7
Small,Foreign,5,6,6,5,6,7,2,5,42,5,5,5,6,5,5,5,6,6,6,7
Small,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Small,Foreign,6,6,6,6,6,6,4,6,46,6,4,2,6,6,6,6,6,6,6,7
Small,Foreign,7,6,6,6,6,7,4,4,46,4,2,4,7,6,6,6,6,6,6,6
Small,Foreign,7,6,7,6,7,7,3,6,49,5,5,6,6,7,7,7,6,7,7,7
